user_id,name,email,country,plan,signup_date,churned
34,Benjamin Sanchez,eric84@example.net,ID,Premium,2026-05-31,False
35,Kendra Contreras,sarah12@example.com,SG,Basic,2023-10-28,False
36,Juan Nelson,jenniferharris@example.net,MY,Basic,2026-01-08,False
37,Danielle Odonnell,davisrodney@example.com,TH,Basic,2023-08-12,True
38,Carlos Whitney,joycearnold@example.com,SG,Free,2025-02-24,False
39,Tony Vazquez,amydavenport@example.net,SG,Premium,2025-02-15,False
40,Andrew Diaz,nolanjason@example.org,SG,Basic,2025-06-20,False
41,Justin Baxter,sarayoung@example.org,ID,Premium,2026-05-23,False
42,Sierra Johnson,kimberly63@example.com,SG,Basic,2023-12-15,False
43,Janet Williams,dwalker@example.com,TH,Free,2024-05-22,True
44,Crystal Johnson,raymondramirez@example.org,SG,Premium,2026-05-12,False
45,Martin Ross,sheila14@example.org,SG,Premium,2025-03-18,True
46,Mrs. Linda Reed,samuel81@example.com,ID,Basic,2026-02-28,False
47,Andrew Graham,michaeljones@example.net,MY,Premium,2026-03-23,False
48,Mary Martinez,william65@example.com,TH,Basic,2025-07-23,False
49,Cheryl Ortega,lbyrd@example.net,MY,Basic,2025-03-05,False
50,Roy Torres,russellcarpenter@example.net,SG,Basic,2024-06-09,False
51,Michael Dixon,donnacampbell@example.net,MY,Premium,2025-05-14,False
52,Robert Potter,jeffrey32@example.org,SG,Basic,2023-08-14,False
53,Miss Patricia Gibson,jennifercruz@example.com,SG,Free,2024-03-16,False
54,Abigail Potter,osbornejeffery@example.net,ID,Free,2025-01-09,False
55,David Charles,danderson@example.net,TH,Free,2025-01-23,True
56,Emily Fischer,usalazar@example.net,ID,Free,2024-10-01,False
57,Jill Moore,wcole@example.org,PH,Free,2025-12-25,False
58,Richard Washington,joshuajones@example.com,ID,Basic,2024-03-06,False
59,Steven Miller,jessebenson@example.net,SG,Premium,2024-02-12,False
60,Gary Owens,clarkrobert@example.net,MY,Basic,2026-04-20,False
61,Spencer Johnston,wsmith@example.com,PH,Basic,2025-09-22,False
62,Tiffany Barnes,tracynelson@example.com,SG,Free,2023-07-26,False
63,Michael Powell,marycalhoun@example.net,SG,Premium,2025-01-26,False
64,Leslie Alvarado,dayderek@example.com,SG,Basic,2024-01-08,False
65,Garrett Gibson,kathleen64@example.com,MY,Free,2024-03-25,True
66,Alec Ryan,jeffrey10@example.org,SG,Premium,2026-04-24,False
67,Alex Hernandez,thomaswilson@example.org,PH,Premium,2024-11-12,False
68,Jacob Obrien,stricklandfrank@example.com,SG,Premium,2023-10-20,False
69,Eric Byrd,tsanders@example.org,MY,Basic,2023-09-15,False
70,Lori Garcia,melissa91@example.net,PH,Free,2025-10-24,False
71,Jeffrey Wood,alexander67@example.org,MY,Free,2024-10-09,True
72,Steven Stevens,ryangross@example.net,PH,Basic,2024-04-14,True
73,Kimberly Webb,lpetersen@example.com,SG,Basic,2024-06-09,False
74,Timothy Ramirez,dsanchez@example.net,MY,Free,2025-04-19,True
75,Allen Rosales,tonykelly@example.com,SG,Basic,2024-06-29,False
76,Meredith Hill,blackjames@example.org,TH,Basic,2025-08-17,False
77,Peter Vaughn DDS,bwest@example.org,SG,Free,2024-05-10,True
78,David Beck,thomas85@example.com,ID,Free,2026-06-14,False
79,Heather Chavez,john13@example.com,TH,Free,2023-11-02,False
80,Pamela Lopez,joannahill@example.net,ID,Free,2026-05-23,False
81,Diane Garcia,kennethward@example.com,MY,Basic,2023-07-10,False
82,Denise Mccann,heidi27@example.org,ID,Premium,2026-01-30,False
83,Julie Alexander,tammyking@example.com,ID,Free,2023-10-27,False
84,John Ray,hernandezlisa@example.com,ID,Free,2023-09-25,False
85,Justin Butler,kimberlyjames@example.com,PH,Free,2024-05-13,False
86,Jessica Carroll,lynchjody@example.org,SG,Premium,2025-05-06,False
87,Brad Allen,moorericky@example.net,TH,Free,2025-04-01,True
88,David Mann,ojones@example.com,SG,Premium,2025-10-29,False
89,Mary Peck,owilson@example.net,ID,Premium,2023-12-04,False
90,Charles Brown,brooke94@example.com,SG,Premium,2023-11-07,False
91,Melissa Bender,mkim@example.org,ID,Premium,2026-02-17,False
92,Lindsey Johnson,suzannehuff@example.net,SG,Premium,2025-03-25,False
93,Phillip Underwood,hinesgregory@example.net,SG,Free,2025-06-03,False
94,Catherine Richards,ecosta@example.com,SG,Basic,2024-09-11,False
95,Brian Martin,ssteele@example.net,MY,Basic,2026-04-19,False
96,Krista Gibson,johnny16@example.net,SG,Premium,2025-12-09,False
97,Sean Murray,lopezmichael@example.com,SG,Basic,2025-05-06,False
98,Christina Dunn,samuel71@example.org,SG,Premium,2026-05-19,False
99,Cynthia Moore,tranchristopher@example.org,MY,Basic,2024-11-08,False
100,Ronnie Jimenez,william46@example.com,TH,Free,2026-05-27,False
101,Juan Reyes,michellehill@example.com,TH,Premium,2024-06-29,False
102,Debra Smith,mary97@example.org,SG,Basic,2024-10-23,False
103,Mr. Phillip Bennett,molly39@example.com,ID,Free,2024-03-05,True
104,Amanda Garner,qhughes@example.net,SG,Premium,2026-05-28,False
105,Andrew Shaw MD,sawyerscott@example.net,ID,Free,2026-03-12,False
106,Charles Pitts,charlesharrington@example.com,ID,Premium,2024-06-27,False
107,Marie Christian,ofinley@example.net,TH,Free,2026-02-15,True
108,Joshua Williamson II,wendy16@example.org,TH,Premium,2025-09-30,False
109,Ashlee Jackson,rebecca05@example.org,SG,Free,2024-05-09,True
110,Charles Schmidt,georgemiller@example.com,TH,Premium,2025-04-29,False
111,Thomas Thomas,dlittle@example.com,ID,Premium,2025-06-20,False
112,Julie Roberts,charleslandry@example.net,TH,Free,2024-05-15,True
113,Melissa Bryant,james67@example.org,MY,Free,2024-03-09,True
114,Laura Haney,andrew64@example.org,SG,Free,2025-03-02,True
115,Natasha Williams,swall@example.org,SG,Free,2025-04-16,False
116,Mark Oliver,courtneyberger@example.net,SG,Premium,2023-08-06,True
117,Amanda Diaz,christopherphillips@example.net,PH,Basic,2024-09-19,False
118,Richard Walter,alyssa42@example.com,SG,Basic,2026-03-16,True
119,Tracy Phillips,linda71@example.org,PH,Premium,2025-09-23,False
120,Michael Craig,zcoffey@example.net,MY,Free,2024-07-27,False
121,Alexis Herrera,vrichardson@example.net,ID,Basic,2024-04-05,False
122,Mark Watson,thomasharvey@example.net,MY,Basic,2024-06-16,False
123,Maria Reid,tblankenship@example.net,SG,Free,2024-09-11,True
124,Tracy Torres,pwilson@example.net,ID,Premium,2023-11-19,False
125,Michael Paul,umatthews@example.org,MY,Basic,2026-02-13,False
126,Sandra Gilbert,antonio53@example.com,SG,Free,2024-10-21,False
127,Jack Pollard,amy50@example.com,ID,Free,2024-04-20,True
128,Tiffany Holloway,batesdarlene@example.net,MY,Free,2026-05-17,False
129,Gavin Zhang,caseyhubbard@example.org,SG,Basic,2025-03-24,False
130,Crystal Schroeder,ramireztracey@example.org,ID,Basic,2025-02-02,True
131,Ashley Delacruz,alexistyler@example.org,SG,Premium,2025-03-27,False
132,Derek Martinez,vfox@example.org,SG,Basic,2024-11-24,False
133,Kayla Rodriguez,soniawilliams@example.net,ID,Basic,2025-01-12,False
134,Victor Brown,bboone@example.net,SG,Basic,2023-10-20,False
135,Jill Lam,charlene12@example.com,ID,Basic,2025-05-04,True
136,Michelle James,shawn96@example.org,MY,Free,2025-11-04,False
137,Matthew Rich,russellbeasley@example.com,TH,Basic,2024-06-28,False
138,Jason Davis,qedwards@example.com,SG,Premium,2026-04-28,False
139,Kara Davis,daviscolin@example.net,SG,Free,2024-08-03,False
140,Anthony Frye,elizabeth65@example.net,SG,Basic,2026-04-14,True
141,Thomas Williams,caroline51@example.net,SG,Basic,2024-12-28,False
142,John Boone,megan51@example.com,SG,Basic,2025-03-11,False
143,Sarah Villegas,lynchdiane@example.net,ID,Basic,2024-04-11,False
144,Michael Parker,michael22@example.net,MY,Premium,2025-06-09,False
145,Patrick Bonilla,reesejason@example.com,MY,Free,2024-10-31,True
146,Eric Nguyen,wareeric@example.net,TH,Free,2023-08-18,False
147,Jeremy Coleman,nperry@example.net,ID,Basic,2023-10-26,False
148,Douglas Gregory,trose@example.org,PH,Premium,2024-02-20,False
149,Mrs. Christine Dougherty,kathrynroberts@example.org,ID,Premium,2023-07-03,False
150,Casey James,vincentwhitaker@example.com,MY,Basic,2023-09-11,True
151,Amanda Smith,atkinsbarbara@example.net,MY,Premium,2024-09-07,False
152,Donna Sullivan,george97@example.net,ID,Free,2026-03-22,False
153,Ryan Sanchez,zwarren@example.com,ID,Premium,2025-09-14,False
154,Richard Jones,schmidtjames@example.com,SG,Free,2024-07-11,False
155,Maria Hernandez,thomasjames@example.net,MY,Free,2023-12-08,False
156,Angela Bean,kmarshall@example.net,ID,Free,2024-10-25,False
157,Kristy Reid,michelle52@example.com,MY,Basic,2023-09-07,False
158,Eric Hill,bellcharles@example.com,SG,Basic,2024-10-29,False
159,Ronald Jones,gilbertwilliam@example.com,MY,Basic,2025-03-17,True
160,Nancy Williams,marcalvarez@example.org,ID,Basic,2026-05-02,True
161,Robert Monroe,wagnergerald@example.org,MY,Free,2025-08-03,False
162,Kelly Bishop MD,paul59@example.org,PH,Premium,2025-10-31,False
163,Andrea Davis,umitchell@example.net,MY,Basic,2026-05-10,False
164,Brittany Miller,sabrinacollins@example.net,SG,Basic,2025-07-24,False
165,Kurt Hurley,angelica52@example.net,SG,Basic,2025-07-29,False
166,Yolanda Gaines,lucasrodney@example.com,SG,Basic,2023-07-14,False
167,Trevor Peterson,ilee@example.org,ID,Basic,2023-09-17,False
168,Ashley Wise,stanleynancy@example.net,MY,Free,2023-11-14,False
169,Christopher Guerra,jenniferwilliams@example.com,SG,Free,2025-06-30,False
170,Jeremy Mitchell,pyoung@example.com,MY,Basic,2026-05-11,False
171,Stephanie Lee,smurray@example.com,ID,Free,2024-12-23,False
172,Christopher Gonzalez,moniquewilliams@example.com,TH,Free,2026-01-31,True
173,Ashley Singleton,mitchellkathryn@example.com,SG,Free,2024-10-26,False
174,Sandra Davis,lisawilkerson@example.org,SG,Basic,2024-09-18,True
175,James Hughes,brooksanthony@example.org,ID,Basic,2025-12-24,False
176,Raven Taylor,samantha72@example.net,SG,Premium,2024-11-16,True
177,Susan Smith,marydunn@example.net,SG,Free,2025-04-18,False
178,Ricardo Young,williamsrobert@example.net,SG,Basic,2024-11-03,False
179,Taylor Carlson,chenbailey@example.net,SG,Basic,2023-11-28,False
180,Lucas Allen,qlopez@example.org,SG,Basic,2025-01-15,False
181,Troy Stephens,myerstheodore@example.net,SG,Premium,2024-08-19,True
182,Paul Kelly,cooperjessica@example.net,ID,Free,2023-10-15,False
183,Nicole Anderson,amy27@example.net,ID,Premium,2024-11-27,False
184,Chad Baldwin,mjohnson@example.org,ID,Free,2025-11-02,False
185,Emily Collins,ihays@example.com,TH,Free,2024-03-26,True
186,Cheryl Kelly,glennmartin@example.org,PH,Basic,2025-11-11,False
187,James Gonzales,lmorgan@example.com,MY,Premium,2025-07-17,False
188,Robert Adams,acostachristian@example.net,SG,Free,2026-06-12,False
189,Edward Garcia,donna47@example.net,SG,Premium,2025-08-14,False
190,Jeremy West,christina64@example.net,TH,Premium,2026-05-27,False
191,Angela Walsh,william20@example.org,ID,Basic,2026-01-04,False
192,Jessica Martinez,kimberlydiaz@example.com,TH,Premium,2026-04-23,False
193,Christian Cole,nathan19@example.org,MY,Basic,2025-01-21,False
194,Matthew Wright,johnsonjacob@example.net,TH,Basic,2024-08-19,False
195,Deborah Green,nlewis@example.com,TH,Premium,2025-07-19,False
196,Mrs. Brandy Jones MD,zosborn@example.net,ID,Free,2026-05-13,False
197,Miss Michelle Pierce,patricia22@example.com,TH,Free,2024-12-30,False
198,Curtis Taylor,jjohnson@example.net,ID,Free,2024-07-30,False
199,Kristen Salazar,jonesraymond@example.net,ID,Free,2025-08-15,True
200,Patricia Morrow,martinezlogan@example.org,PH,Free,2024-10-27,False
201,Haley Humphrey,katrinaanderson@example.net,MY,Free,2026-03-12,True
202,Caleb Hernandez,fernandodonovan@example.org,ID,Premium,2024-07-05,False
203,Stephanie Singleton,james84@example.org,SG,Basic,2025-05-05,False
204,Anna Davidson,georgeweber@example.net,SG,Free,2024-06-26,False
205,Amanda Shields,williamsdarlene@example.net,MY,Basic,2024-04-08,False
206,Kenneth Montgomery,jimenezcourtney@example.com,SG,Basic,2025-05-24,False
207,David Aguirre,eevans@example.net,SG,Basic,2023-08-29,False
208,John Harris,larryhiggins@example.net,SG,Free,2026-06-04,False
209,James Hodges,floressteven@example.com,SG,Basic,2024-10-26,False
210,Anthony Dougherty,kwright@example.com,ID,Free,2026-04-06,False
211,Cheryl Moore,tjimenez@example.com,SG,Premium,2023-07-20,False
212,Kathy Levy,brandywilliams@example.com,SG,Free,2024-12-14,False
213,Martha Ruiz,booneryan@example.com,MY,Free,2025-08-25,False
214,Holly Morales,michaelroberts@example.com,MY,Free,2024-12-25,True
215,Diana Hays,andersoncolin@example.com,TH,Basic,2025-11-06,False
216,Todd Fischer,carriemorales@example.org,MY,Basic,2023-08-13,True
217,Gary Wells,ghernandez@example.org,SG,Basic,2024-06-16,False
218,Carla Ewing,brittney88@example.net,MY,Free,2024-12-09,True
219,Karen Smith,emily69@example.com,SG,Premium,2025-11-08,False
220,Melissa Johnson,pbaker@example.net,SG,Basic,2025-03-15,False
221,Lauren Jackson,rhernandez@example.org,PH,Basic,2023-07-29,False
222,Ashley Smith,robert63@example.com,ID,Free,2024-12-22,True
223,Kaitlyn Charles,thorntonapril@example.net,MY,Premium,2024-06-12,False
224,Kelly Edwards,stevepatel@example.net,TH,Basic,2024-07-14,False
225,Michelle Schneider,chelsea33@example.com,ID,Premium,2025-02-21,False
226,William Evans,janet75@example.com,PH,Basic,2024-07-08,False
227,Rebecca Hill,berryamy@example.com,ID,Free,2025-12-02,False
228,Regina Roberts,stephanie15@example.com,SG,Free,2025-06-08,False
229,Cindy Clayton,sarah42@example.org,MY,Free,2025-04-25,False
230,Dana Santiago,danawilliams@example.com,ID,Free,2024-06-18,False
231,Michael Taylor,richarddonovan@example.com,ID,Basic,2024-11-25,False
232,Victor Morris,velezchristopher@example.net,ID,Premium,2024-03-03,False
233,Sarah Johnson,robertmonroe@example.org,MY,Basic,2026-06-14,True
234,Jon Zuniga,nancy04@example.net,TH,Basic,2025-04-11,False
235,Frances Gibson,ismall@example.net,SG,Premium,2024-11-15,False
236,Brian Martin,twong@example.org,MY,Free,2023-07-10,True
237,Edward Craig,gregorychase@example.com,ID,Free,2025-12-11,False
238,Angie Caldwell,tinawoods@example.org,MY,Basic,2023-07-02,True
239,Jeremy Adams,kevin90@example.com,SG,Basic,2025-06-05,False
240,Amy Wilson,erik84@example.net,SG,Basic,2023-10-30,False
241,Elizabeth Mendez,susanmendoza@example.com,TH,Free,2025-09-16,True
242,Jennifer Dunn,ztodd@example.net,PH,Basic,2025-12-10,True
243,Melanie Larson,foxallison@example.com,SG,Basic,2023-09-18,False
244,Amy Kelley,ashleyhernandez@example.com,ID,Premium,2026-01-10,False
245,Michael Love,gdavis@example.com,MY,Premium,2025-11-21,False
246,Jose Bryant,hansenemily@example.com,SG,Basic,2025-08-20,False
247,Robert Reese,williamsmelvin@example.org,ID,Free,2025-02-03,False
248,Steven Andersen,ajohnson@example.org,ID,Premium,2025-10-09,False
249,Veronica Brewer,ybrooks@example.com,TH,Free,2026-01-27,True
250,Jaime Vega,desireebailey@example.org,SG,Basic,2026-06-10,False
251,Cameron Irwin,avilatiffany@example.com,MY,Free,2025-06-27,True
252,Kim Morrow,stevenmoore@example.org,ID,Basic,2026-04-10,True
253,Ashley Pacheco,bmendez@example.org,SG,Basic,2024-02-04,False
254,Andrew Harper,sanchezbradley@example.com,ID,Free,2024-03-06,True
255,Scott Brown,jim95@example.net,MY,Premium,2025-04-06,False
256,Erica Turner,valerieboyd@example.com,ID,Premium,2024-05-17,False
257,Travis Hobbs,conniesimmons@example.com,ID,Free,2023-08-15,True
258,Mason James,heather62@example.com,MY,Free,2024-08-07,False
259,Kara Atkinson,meredith27@example.org,PH,Basic,2025-02-26,False
260,Kristin Anderson,jonathanrivera@example.org,SG,Premium,2026-03-25,False
261,Anna Hardy,brettbennett@example.net,ID,Premium,2025-04-11,False
262,Chelsea Gill,timothybooth@example.com,TH,Basic,2024-05-20,False
263,Christy Lee,burgesskaren@example.org,MY,Premium,2025-07-21,False
264,Jennifer Allen,kimberly67@example.net,MY,Free,2025-05-31,True
265,Ian Andrade,ugarcia@example.com,SG,Premium,2025-10-01,False
266,Dale Edwards,hartjeffrey@example.org,PH,Premium,2023-07-12,False
267,Lauren Cortez,elijah53@example.com,SG,Basic,2025-03-06,True
268,Juan Harding,jonathan77@example.com,PH,Free,2023-12-25,False
269,Caroline Cortez,iwhite@example.net,MY,Basic,2026-05-02,False
270,Sara Jones,duranrobert@example.net,MY,Free,2024-03-03,False
271,Alexa Wagner,bruce97@example.net,SG,Basic,2024-12-07,False
272,Juan Smith,amanda40@example.net,SG,Basic,2025-11-26,False
273,Renee Browning,hullalice@example.org,ID,Premium,2024-01-20,False
274,Robin Adams,zmiller@example.com,MY,Basic,2025-03-01,False
275,Courtney Sutton DVM,davisnicholas@example.net,PH,Basic,2024-11-24,True
276,Michele Miller,vnewman@example.net,MY,Basic,2026-05-24,False
277,Stephanie Ellison,jasonparrish@example.net,TH,Basic,2024-11-23,True
278,Benjamin Frost,whitemelissa@example.org,MY,Basic,2026-05-07,False
279,Nicole Marquez,thickman@example.org,ID,Basic,2025-02-28,False
280,Sarah Rhodes,patrick21@example.net,PH,Free,2025-09-13,False
281,Brent Hall,petersonkayla@example.net,ID,Free,2024-08-30,False
282,Alyssa Nelson,whenry@example.net,TH,Premium,2026-04-14,False
283,Michael Guerrero,bartonkenneth@example.org,ID,Free,2025-08-09,False
284,Christian Dawson,jodistewart@example.org,SG,Premium,2023-10-02,False
285,Jill Juarez,andersonjacob@example.com,PH,Free,2025-02-20,False
286,Ashley Davis,carlsonkristen@example.com,MY,Premium,2023-07-08,False
287,Richard Hardy,ashleyjackson@example.com,TH,Free,2023-12-26,False
288,Derrick Thomas,ryanfisher@example.com,TH,Basic,2025-10-24,False
289,Tony Le,mwheeler@example.com,SG,Free,2023-10-19,True
290,Travis Cook,vbrock@example.com,MY,Free,2024-06-23,False
291,Shannon Mccann,kevinmorrison@example.net,SG,Basic,2024-01-29,False
292,Vincent Novak,jessica79@example.org,ID,Free,2024-06-13,True
293,Richard Diaz,brittanygardner@example.net,SG,Free,2025-10-07,True
294,Nicholas Hahn,samuelcarter@example.net,SG,Basic,2023-09-08,False
295,Rebecca Chambers,cynthiaallen@example.net,TH,Free,2023-12-09,True
296,James Cole,iaguilar@example.net,MY,Basic,2026-03-26,False
297,Jennifer Johnson,jacqueline89@example.net,ID,Free,2026-03-16,False
298,David Ortega,deborahwilliams@example.net,TH,Basic,2025-07-01,False
299,Paul Sheppard,grodriguez@example.com,MY,Free,2024-02-21,False
300,Kristin Watts,seanmyers@example.net,MY,Free,2025-03-26,False
301,Haley Johnson,phillipssamantha@example.org,PH,Premium,2023-10-29,False
302,Brenda Collins,hmueller@example.com,MY,Basic,2024-07-08,False
303,Nathan Chavez,evanslisa@example.org,SG,Basic,2023-07-19,False
304,Brian Marsh,zacharyarnold@example.com,TH,Basic,2025-02-23,False
305,Crystal Sullivan,jacobsandoval@example.com,ID,Free,2023-07-26,True
306,Christina Vargas,nsmith@example.org,ID,Free,2024-04-23,False
307,Rebecca Ray,michaelgonzalez@example.org,ID,Basic,2024-04-05,False
308,Kelsey Fowler,lcarr@example.org,TH,Premium,2024-07-07,False
309,Lisa Cervantes,samantha91@example.net,MY,Basic,2023-11-17,False
310,Eric White,williambarnes@example.org,SG,Basic,2025-03-11,False
311,John Medina,angelaburns@example.org,SG,Free,2024-01-14,True
312,Lisa Glenn,washingtonjames@example.com,PH,Free,2026-05-09,False
313,Kathleen Cohen,cmckinney@example.com,TH,Basic,2023-12-24,True
314,Rebecca Walker,hillamanda@example.org,MY,Free,2025-10-22,True
315,Patricia Simpson,armstrongjoseph@example.net,SG,Premium,2025-12-07,False
316,Rodney Williams,bpayne@example.org,SG,Free,2025-09-03,True
317,Danielle Golden,colemichael@example.org,ID,Premium,2024-10-15,False
318,Patricia Young PhD,michelle96@example.org,TH,Premium,2025-04-25,True
319,Robin Trujillo,amanda98@example.org,SG,Free,2024-06-11,True
320,Donna Adams,taylorkaren@example.com,ID,Basic,2026-03-21,False
321,Sharon Martinez DVM,dustinmorris@example.org,TH,Basic,2025-10-01,False
322,Katherine Ray,courtney67@example.org,SG,Premium,2025-05-15,False
323,Anna Robertson,heather57@example.com,MY,Free,2024-06-15,True
324,Raymond Oconnor,sreid@example.com,SG,Premium,2026-01-05,False
325,Jennifer Donaldson,troymorris@example.com,SG,Premium,2024-06-26,True
326,Kylie Washington,patricia00@example.org,PH,Basic,2025-05-06,False
327,Alexis Noble,scottsmith@example.com,SG,Free,2024-01-31,False
328,Bonnie Santos,nancymcdowell@example.org,MY,Premium,2025-06-06,False
329,Jacob Mckee,brettgarrett@example.net,PH,Basic,2025-07-25,False
330,Matthew Padilla,lewischristian@example.net,SG,Basic,2024-02-26,False
331,Alexandra Dominguez,mcneilrobert@example.org,MY,Basic,2024-11-26,False
332,Brandon Shaffer,edwardsnicole@example.org,SG,Basic,2024-08-14,True
333,Shelly May,caseyelliott@example.net,PH,Free,2025-06-01,False
334,Nathan Fuller,samanthajensen@example.com,ID,Premium,2026-01-16,False
335,Brian Goodwin,bbell@example.com,MY,Basic,2025-11-02,True
336,Matthew Wright,kimberly04@example.org,SG,Free,2025-01-08,False
337,Nicole Phillips,bowerslaura@example.org,ID,Premium,2024-12-14,False
338,Jonathan Wheeler,hatfieldsarah@example.org,SG,Basic,2024-08-19,False
339,Jennifer Payne,kathrynbest@example.org,SG,Premium,2023-07-13,False
340,Dennis Williams,fryraymond@example.com,ID,Basic,2025-05-09,False
341,Jennifer Miles,davidsonamanda@example.org,TH,Free,2024-04-22,False
342,Jorge Harris,amandamyers@example.net,TH,Free,2025-10-03,False
343,Maria Collins,pblair@example.org,SG,Free,2024-03-17,True
344,Audrey Salazar,parkerjudith@example.net,SG,Free,2024-01-02,False
345,Chad Smith,hbenton@example.net,SG,Basic,2025-10-24,False
346,Carol Martinez,jessica10@example.com,SG,Premium,2025-11-19,False
347,Austin Joseph,crawfordwilliam@example.org,ID,Free,2024-12-20,False
348,Holly Scott,shannonemily@example.org,MY,Basic,2024-02-28,False
349,Amanda Roy,brandoncox@example.org,SG,Premium,2024-01-05,False
350,Amanda Pratt,pwalker@example.com,SG,Basic,2026-03-18,True
351,Roger Duncan,shawrachel@example.org,MY,Premium,2024-02-23,False
352,Amber Morales,xcline@example.com,SG,Basic,2024-06-15,True
353,Aimee Gonzalez,jodi37@example.com,ID,Basic,2025-03-30,False
354,Raymond Gonzalez DVM,edwardrandolph@example.org,SG,Basic,2024-03-04,True
355,Ryan Wiley,aaron64@example.org,SG,Free,2024-02-03,False
356,Mrs. Tonya Kaufman,jenniferdavis@example.org,MY,Free,2026-02-26,False
357,Mercedes Watson,carpenterwilliam@example.net,MY,Free,2025-12-03,True
358,Keith Graham,joelgreen@example.com,SG,Basic,2026-03-29,False
359,Ronnie Nguyen,enelson@example.org,ID,Basic,2023-11-20,True
360,Ashley Garcia,aowens@example.org,SG,Premium,2025-01-28,False
361,Christine Parker,melissa12@example.net,SG,Basic,2024-05-21,False
362,Lindsey Lewis,eddie35@example.com,SG,Basic,2025-01-04,False
363,Debbie Ewing,cranemelissa@example.net,MY,Basic,2025-09-16,False
364,Joel Lara,davidbrown@example.org,SG,Free,2023-11-14,True
365,Jacqueline Mccoy,aguilarjonathan@example.org,SG,Premium,2023-07-18,False
366,Steven Ramos,christopherboone@example.com,MY,Basic,2023-11-05,False
367,Amber Glass,zunderwood@example.com,SG,Basic,2023-07-27,False
368,Carrie Lewis,joshuagriffin@example.org,ID,Free,2023-08-01,False
369,Danielle Phillips,eandrade@example.org,ID,Premium,2023-09-28,False
370,Jason Day,crystalpham@example.org,MY,Premium,2026-06-06,False
371,Heather Stephens,kcooper@example.net,ID,Basic,2024-06-09,False
372,Alexander Harper,huangkimberly@example.org,TH,Free,2025-11-21,False
373,Hunter Silva,terrigarcia@example.net,MY,Free,2024-03-13,True
374,Raven Mclaughlin,barbaramcgrath@example.com,PH,Premium,2024-07-15,False
375,Sarah Thompson,linda59@example.org,ID,Premium,2025-07-30,False
376,Keith Thomas,marycochran@example.com,TH,Free,2025-02-04,True
377,Andrew Brown,andrewwoods@example.com,ID,Free,2026-03-20,False
378,Carlos Love,brian29@example.net,SG,Free,2026-03-19,False
379,Sarah Valencia,brookssheri@example.com,MY,Premium,2025-03-24,False
380,Frank Daugherty,fconner@example.net,SG,Free,2024-06-04,False
381,Kristina Preston,jeffrey92@example.com,MY,Basic,2024-05-24,False
382,Bethany Daniel,xrosales@example.net,ID,Free,2023-07-30,False
383,Tammy Ponce,daniellegarcia@example.com,SG,Premium,2023-11-25,False
384,Cynthia Haas,daisymccarty@example.net,ID,Free,2025-06-23,False
385,Gabriela Smith,johnjones@example.com,ID,Basic,2025-10-29,False
386,Amber Kim,acosta@example.com,SG,Basic,2026-02-09,False
387,James Poole,franciscojones@example.org,MY,Premium,2024-05-11,False
